95,2.5,2.5,407.383
80,4,16,419.5726
90,5,5,425.32
60,10,30,433.4814
50,10,40,436.434
66,10,24,436.638
80,10,10,452.153
40,10,50,454.1968
30,14,56,458.3528
45,15,40,459.6642
50,17,33,478.908
70,15,15,490.18
20,20,60,501.195
40,20,40,504.0684
66,17,17,505.074
50,20,30,517.464
80,16,4,525.8146
60,20,20,534.212
30,24,46,545.1352
10,25,65,554.6762
52,24,24,584.3606
50,25,25,588.336
20,30,50,628.3152
66,24,10,632.841
44,28,28,633.869
38,31,31,678.192
10,35,55,719.5236
55,30,15,737.4212
25,35,40,757.9004
60,30,10,774.9674
30,35,35,779.726
50,33,17,805.828
20,40,40,882.058
95,2.5,2.5,405.754
80,4,16,413.6682
90,5,5,421.8586
60,10,30,431.2774
50,10,40,432.306
66,10,24,435.7568
80,10,10,451.861
40,10,50,451.2036
30,14,56,458.1344
45,15,40,459.0086
50,17,33,480.427
70,15,15,487.8706
20,20,60,502.4888
40,20,40,504.4992
66,17,17,503.3504
50,20,30,516.6776
80,16,4,529.945
60,20,20,532.0792
30,24,46,537.621
10,25,65,557.2148
52,24,24,581.777
50,25,25,595.0882
20,30,50,627.4918
66,24,10,630.0302
44,28,28,635.717
38,31,31,684.841
10,35,55,732.829
55,30,15,737.4866
25,35,40,757.511
60,30,10,774.3874
30,35,35,765.7402
50,33,17,792.5956
20,40,40,900.6326
95,2.5,2.5,405.754
80,4,16,413.0768
90,5,5,421.0476
60,10,30,431.7182
50,10,40,431.7918
66,10,24,435.3898
80,10,10,451.788
40,10,50,450.9846
30,14,56,457.4784
45,15,40,459.6642
50,17,33,480.2098
70,15,15,487.8706
20,20,60,502.776
40,20,40,504.4992
66,17,17,503.9248
50,20,30,516.3204
80,16,4,529.589
60,20,20,532.5062
30,24,46,538.544
10,25,65,556.8624
52,24,24,581.7072
50,25,25,595.7834
20,30,50,627.0108
66,24,10,630.0302
44,28,28,636.6756
38,31,31,685.1092
10,35,55,734.9952
55,30,15,739.1242
25,35,40,751.5954
60,30,10,779.4688
30,35,35,766.0634
50,33,17,799.7318
20,40,40,895.0274
95,2.5,2.5,406.297
80,4,16,415.4392
90,5,5,422.7420667
60,10,30,432.159
50,10,40,433.5106
66,10,24,435.9282
80,10,10,451.934
40,10,50,452.1283333
30,14,56,457.9885333
45,15,40,459.4456667
50,17,33,479.8482667
70,15,15,488.6404
20,20,60,502.1532667
40,20,40,504.3556
66,17,17,504.1164
50,20,30,516.8206667
80,16,4,528.4495333
60,20,20,532.9324667
30,24,46,540.4334
10,25,65,556.2511333
52,24,24,582.6149333
50,25,25,593.0692
20,30,50,627.6059333
66,24,10,630.9671333
44,28,28,635.4205333
38,31,31,682.7140667
10,35,55,729.1159333
55,30,15,738.0106667
25,35,40,755.6689333
60,30,10,776.2745333
30,35,35,770.5098667
50,33,17,799.3851333
20,40,40,892.5726667
