95,2.5,2.5,1
80,4,16,1
90,5,5,1
60,10,30,1
50,10,40,1
66,10,24,1
80,10,10,2
40,10,50,2
30,14,56,2
45,15,40,2
50,17,33,2
70,15,15,2
20,20,60,3
40,20,40,3
66,17,17,3
50,20,30,3
80,16,4,3
60,20,20,3
30,24,46,3
10,25,65,3
52,24,24,4
50,25,25,4
20,30,50,6
66,24,10,6
44,28,28,6
38,31,31,6
10,35,55,6
55,30,15,6
25,35,40,6
95,2.5,2.5,1
80,4,16,1
90,5,5,1
60,10,30,1
50,10,40,1
66,10,24,1
80,10,10,2
40,10,50,2
30,14,56,2
45,15,40,2
50,17,33,2
70,15,15,2
20,20,60,3
40,20,40,3
66,17,17,3
50,20,30,3
80,16,4,3
60,20,20,3
30,24,46,3
10,25,65,3
52,24,24,4
50,25,25,5
20,30,50,6
66,24,10,6
44,28,28,6
38,31,31,6
10,35,55,6
55,30,15,6
25,35,40,6
95,2.5,2.5,1
80,4,16,1
90,5,5,1
60,10,30,1
50,10,40,1
66,10,24,1
80,10,10,2
40,10,50,2
30,14,56,2
45,15,40,2
50,17,33,2
70,15,15,2
20,20,60,3
40,20,40,3
66,17,17,3
50,20,30,3
80,16,4,3
60,20,20,3
30,24,46,3
10,25,65,3
52,24,24,4
50,25,25,5
20,30,50,6
66,24,10,6
44,28,28,6
38,31,31,6
10,35,55,6
55,30,15,6
25,35,40,6
95,2.5,2.5,1
80,4,16,1
90,5,5,1
60,10,30,1
50,10,40,1
66,10,24,1
80,10,10,2
40,10,50,2
30,14,56,2
45,15,40,2
50,17,33,2
70,15,15,2
20,20,60,3
40,20,40,3
66,17,17,3
50,20,30,3
80,16,4,3
60,20,20,3
30,24,46,3
10,25,65,3
52,24,24,4
50,25,25,5
20,30,50,6
66,24,10,6
44,28,28,6
38,31,31,6
10,35,55,6
55,30,15,6
25,35,40,6
20,50,30,7
10,45,45,7
50,40,10,7
50,50,0,7
50,0,50,7
66,34,0,7
66,0,34,7
30,46,24,7
30,56,14,7
30,5,65,7
20,10,70,7
25,42,33,7
44,34,22,7

